location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,total_vaccinations_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Germany,2020-03-01,130,51,16.286,,,0,1.552,0.609,0.194,,,0,,,,,,,,177.621,2.12,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-02,159,29,20.429,,,0,1.898,0.346,0.244,,,0,2.9,,,,,,,,,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-03,196,37,25.571,,,0,2.339,0.442,0.305,,,0,2.93,,,,,,,,,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-04,262,66,33.571,,,0,3.127,0.788,0.401,,,0,3,,,,,,,,,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-05,482,220,62.286,,,0,5.753,2.626,0.743,,,0,3.08,,,,,,,,,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-06,670,188,88.857,,,0,7.997,2.244,1.061,,,0,3.02,,,,,,,,,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-07,799,129,102.857,,,0,9.536,1.54,1.228,,,0,2.95,,,,,,,,,,,,,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-08,1040,241,130,,,0,12.413,2.876,1.552,,,0,2.92,,,,,,,334.049,3.987,,124716,1.489,,,,0.031,32.3,tests performed,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-09,1176,136,145.286,2,2,0.286,14.036,1.623,1.734,0.024,0.024,0.003,2.88,,,,,,,,,,,,,,,,,tests performed,,,28.7,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-10,1457,281,180.143,2,0,0.286,17.39,3.354,2.15,0.024,0,0.003,2.9,,,,,,,,,,,,,,,,,tests performed,,,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-11,1908,451,235.143,3,1,0.429,22.773,5.383,2.807,0.036,0.012,0.005,2.92,,,,,,,,,,,,,,,,,tests performed,,,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-12,2078,170,228,3,0,0.429,24.802,2.029,2.721,0.036,0,0.005,2.93,,,,,,,,,,,,,,,,,tests performed,,,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-13,3675,1597,429.286,7,4,1,43.863,19.061,5.124,0.084,0.048,0.012,3,,,,,,,,,,,,,,,,,tests performed,,,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-14,4585,910,540.857,9,2,1.286,54.724,10.861,6.455,0.107,0.024,0.015,2.9,,,,,,,,,,,,,,,,,tests performed,,,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-15,5795,1210,679.286,11,2,1.571,69.166,14.442,8.108,0.131,0.024,0.019,2.81,,,,,,,929.484,11.094,,252173,3.01,,18208,0.217,0.059,16.9,tests performed,,,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-16,7272,1477,870.857,17,6,2.143,86.795,17.629,10.394,0.203,0.072,0.026,2.73,,,,,,,,,,,,,22722,0.271,,,tests performed,,,42.13,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-17,9257,1985,1114.286,24,7,3.143,110.487,23.692,13.3,0.286,0.084,0.038,2.66,,,,,,,,,,,,,27235,0.325,,,tests performed,,,42.13,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-18,12327,3070,1488.429,28,4,3.571,147.128,36.642,17.765,0.334,0.048,0.043,2.58,,,,,,,,,,,,,31749,0.379,,,tests performed,,,52.31,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-19,15320,2993,1891.714,44,16,5.857,182.851,35.723,22.578,0.525,0.191,0.07,2.47,,,,,,,,,,,,,36262,0.433,,,tests performed,,,55.09,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-20,19848,4528,2310.429,67,23,8.571,236.895,54.044,27.576,0.8,0.275,0.102,2.36,200,2.387,,,,,,,,,,,40776,0.487,,,tests performed,,,57.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-21,22213,2365,2518.286,84,17,10.714,265.122,28.227,30.057,1.003,0.203,0.128,2.23,308,3.676,,,,,,,,,,,45289,0.541,,,tests performed,,,68.06,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-22,24873,2660,2725.429,94,10,11.857,296.871,31.748,32.529,1.122,0.119,0.142,2.13,364,4.345,,,,,2353.481,28.09,,600792,7.171,,49803,0.594,0.068,14.7,tests performed,,,76.85,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
Germany,2020-03-23,29056,4183,3112,123,29,15.143,346.797,49.926,37.143,1.468,0.346,0.181,2.05,451,5.383,,,,,,,,,,,50066,0.598,,,tests performed,,,76.85,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
